material,matno,energy_MeV,stopping_power_electronic_MeV_cm2_g,stopping_power_nuclear_MeV_cm2_g,stopping_power_total_MeV_cm2_g,csda_range_g_cm2,projected_range_g_cm2,detour_factor
copper,029,75.0,5.976,0.00221,5.979,7.178,7.124,0.9926
copper,029,80.0,5.7,0.002081,5.702,8.034,7.975,0.9927
copper,029,85.0,5.453,0.001968,5.455,8.931,8.866,0.9928
copper,029,90.0,5.232,0.001866,5.234,9.867,9.796,0.9928
copper,029,95.0,5.032,0.001774,5.034,10.84,10.76,0.9929
copper,029,100.0,4.85,0.001692,4.852,11.85,11.77,0.993
copper,029,125.0,4.146,0.001374,4.147,17.45,17.33,0.9933
copper,029,150.0,3.663,0.001159,3.664,23.88,23.73,0.9935
copper,029,175.0,3.31,0.001003,3.311,31.08,30.88,0.9937
copper,029,200.0,3.041,0.0008852,3.042,38.96,38.72,0.9938
copper,029,225.0,2.829,0.0007926,2.83,47.49,47.21,0.994
copper,029,250.0,2.658,0.0007179,2.659,56.62,56.28,0.9941
copper,029,275.0,2.518,0.0006564,2.518,66.28,65.9,0.9942
copper,029,300.0,2.4,0.0006048,2.4,76.46,76.03,0.9944
copper,029,350.0,2.214,0.0005231,2.214,98.19,97.65,0.9946
copper,029,400.0,2.074,0.0004613,2.074,121.5,120.9,0.9947
copper,029,450.0,1.966,0.0004129,1.966,146.3,145.6,0.9949
copper,029,500.0,1.88,0.0003739,1.88,172.4,171.5,0.995
copper,029,550.0,1.81,0.0003418,1.811,199.5,198.5,0.9952
copper,029,600.0,1.753,0.0003149,1.754,227.5,226.5,0.9953
copper,029,650.0,1.706,0.000292,1.706,256.5,255.3,0.9954
copper,029,700.0,1.666,0.0002723,1.666,286.1,284.8,0.9955
copper,029,750.0,1.632,0.0002552,1.632,316.4,315.1,0.9956
copper,029,800.0,1.603,0.0002401,1.603,347.4,345.9,0.9957
copper,029,850.0,1.578,0.0002268,1.578,378.8,377.2,0.9958
copper,029,900.0,1.556,0.0002149,1.556,410.7,409.0,0.9959
copper,029,950.0,1.537,0.0002043,1.538,443.0,441.2,0.996
copper,029,1000.0,1.521,0.0001947,1.521,475.7,473.9,0.996
copper,029,1500.0,1.433,0.000133,1.433,816.4,813.6,0.9966
copper,029,2000.0,1.407,0.0001015,1.407,1169.0,1166.0,0.997
copper,029,2500.0,1.404,8.235e-05,1.404,1525.0,1521.0,0.9973
copper,029,3000.0,1.409,6.943e-05,1.409,1881.0,1876.0,0.9975
copper,029,4000.0,1.43,5.306e-05,1.43,2585.0,2580.0,0.9979
copper,029,5000.0,1.454,4.307e-05,1.454,3279.0,3273.0,0.9981
copper,029,6000.0,1.476,3.633e-05,1.476,3961.0,3955.0,0.9983
copper,029,7000.0,1.498,3.146e-05,1.498,4634.0,4627.0,0.9984
copper,029,8000.0,1.517,2.778e-05,1.517,5297.0,5290.0,0.9986
copper,029,9000.0,1.535,2.489e-05,1.535,5952.0,5945.0,0.9987
copper,029,10000.0,1.552,2.256e-05,1.552,6600.0,6592.0,0.9987
