material,matno,energy_MeV,stopping_power_electronic_MeV_cm2_g,stopping_power_nuclear_MeV_cm2_g,stopping_power_total_MeV_cm2_g,csda_range_g_cm2,projected_range_g_cm2,detour_factor
lead,082,25.0,9.55,0.003923,9.554,1.572,1.526,0.9706
lead,082,27.5,8.929,0.003608,8.932,1.843,1.79,0.9713
lead,082,30.0,8.393,0.003342,8.396,2.132,2.072,0.972
lead,082,35.0,7.514,0.002916,7.516,2.763,2.688,0.973
lead,082,40.0,6.822,0.002591,6.825,3.462,3.371,0.9739
lead,082,45.0,6.264,0.002334,6.267,4.227,4.12,0.9746
lead,082,50.0,5.804,0.002125,5.806,5.057,4.931,0.9752
lead,082,55.0,5.418,0.001952,5.42,5.949,5.804,0.9757
lead,082,60.0,5.088,0.001806,5.09,6.901,6.737,0.9761
lead,082,65.0,4.804,0.001681,4.806,7.913,7.727,0.9765
lead,082,70.0,4.557,0.001573,4.558,8.982,8.774,0.9769
lead,082,75.0,4.339,0.001479,4.34,10.11,9.876,0.9772
lead,082,80.0,4.146,0.001396,4.147,11.29,11.03,0.9775
lead,082,85.0,3.973,0.001322,3.974,12.52,12.24,0.9778
lead,082,90.0,3.818,0.001255,3.819,13.8,13.5,0.9781
lead,082,95.0,3.678,0.001196,3.679,15.14,14.81,0.9783
lead,082,100.0,3.551,0.001142,3.552,16.52,16.16,0.9785
lead,082,125.0,3.056,0.0009329,3.057,24.14,23.64,0.9794
lead,082,150.0,2.713,0.0007905,2.714,32.84,32.19,0.9802
lead,082,175.0,2.462,0.000687,2.463,42.53,41.71,0.9808
lead,082,200.0,2.27,0.0006081,2.271,53.12,52.12,0.9813
lead,082,225.0,2.118,0.0005459,2.119,64.53,63.35,0.9818
lead,082,250.0,1.996,0.0004957,1.996,76.69,75.33,0.9822
lead,082,275.0,1.895,0.0004541,1.895,89.55,87.99,0.9826
lead,082,300.0,1.81,0.0004192,1.81,103.1,101.3,0.9829
lead,082,350.0,1.676,0.0003637,1.677,131.8,129.6,0.9836
lead,082,400.0,1.576,0.0003215,1.577,162.6,160.0,0.9841
lead,082,450.0,1.499,0.0002883,1.499,195.2,192.1,0.9846
lead,082,500.0,1.437,0.0002615,1.438,229.2,225.8,0.985
lead,082,550.0,1.388,0.0002394,1.388,264.6,260.8,0.9854
lead,082,600.0,1.347,0.0002209,1.348,301.2,296.9,0.9858
lead,082,650.0,1.314,0.0002051,1.314,338.8,334.1,0.9862
lead,082,700.0,1.286,0.0001914,1.286,377.3,372.2,0.9865
lead,082,750.0,1.262,0.0001795,1.262,416.5,411.0,0.9868
lead,082,800.0,1.242,0.0001691,1.242,456.5,450.6,0.9871
lead,082,850.0,1.224,0.0001598,1.224,497.1,490.8,0.9873
lead,082,900.0,1.209,0.0001515,1.21,538.2,531.5,0.9876
lead,082,950.0,1.197,0.0001441,1.197,579.7,572.7,0.9878
lead,082,1000.0,1.185,0.0001374,1.186,621.7,614.3,0.9881
lead,082,1500.0,1.13,9.419e-05,1.13,1056.0,1045.0,0.9898
lead,082,2000.0,1.12,7.205e-05,1.12,1501.0,1488.0,0.991
lead,082,2500.0,1.124,5.854e-05,1.124,1947.0,1932.0,0.9919
lead,082,3000.0,1.135,4.94e-05,1.135,2390.0,2372.0,0.9926
lead,082,4000.0,1.161,3.78e-05,1.161,3261.0,3241.0,0.9936
lead,082,5000.0,1.187,3.072e-05,1.187,4113.0,4090.0,0.9944
lead,082,6000.0,1.211,2.593e-05,1.211,4947.0,4922.0,0.9949
lead,082,7000.0,1.233,2.247e-05,1.233,5765.0,5738.0,0.9954
lead,082,8000.0,1.253,1.985e-05,1.253,6569.0,6541.0,0.9957
lead,082,9000.0,1.271,1.779e-05,1.271,7361.0,7332.0,0.996
lead,082,10000.0,1.288,1.613e-05,1.288,8143.0,8112.0,0.9962
